Tahun ,PDB Triwulan , Pengeluaran Konsumsi Rumahtangga," Makanan dan Minuman, Selain Restoran"," Pakaian, Alas Kaki dan Jasa Perawatannya", Perumahan dan Perlengkapan Rumahtangga, Kesehatan dan Pendidikan, Transportasi dan Komunikasi, Restoran dan Hotel, Lainnya, Pengeluaran Konsumsi LNPRT, Pengeluaran Konsumsi Pemerintah, Konsumsi Kolektif, Konsumsi Individu, Pembentukan Modal Tetap Domestik Bruto, Bangunan, Mesin dan Perlengkapan, Kendaraan, Peralatan Lainnya, CBR, Produk Kekayaan Intelektual, Perubahan Inventori, Ekspor Barang dan Jasa, Barang, Barang Non-migas, Barang migas, Jasa, Dikurangi Impor Barang dan Jasa, Barang, Barang Non-migas, Barang migas, Jasa,#VALUE!, PRODUK DOMESTIK BRUTO
2024,Triwulan II,1711656.07,627264.69,63571.44,231146.82,120041.18,429891.83,162522.74,77217.38,42217.95,226663.95,137538.04,89125.91,958240.08,703868.73,121538.58,50495.29,13926.65,46339.91,22070.93,73340.82,734844.5,670146.14,611046.85,59099.29,64698.36,612624.41,527645.84,444867.21,82778.62,84978.57,96628.84,3230967.8
2010,Triwulan III,959649.86,364944.41,40226.21,131104.94,65979.17,228141.42,86512.6,42741.11,18489.86,154802.67,94019.44,60783.23,541676.74,404412.62,56955.73,32545.62,7855.84,30394.5,9512.43,81674.62,405394.73,367923.02,312395.88,55527.14,37471.71,389296.97,325969.98,263502.48,62467.5,63326.99,2718.39,1775109.9
2011,Triwulan III,1016155.36,379221.16,41852.42,139336.73,68885.68,243265.51,92300.78,51293.07,19574.75,162056.68,102109.42,59947.26,582733.97,423960.24,68669.91,37919.86,8618.68,31668.61,11896.67,43030.89,491564.62,448713.34,363897.21,84816.14,42851.28,454970.14,387031.75,306963.94,80067.81,67938.39,21703.57,1881849.7
2012,Triwulan III,1071689.62,392516.77,44587.19,147289.45,72851.5,259572.82,98903.03,55968.86,20937.46,158887.37,99224.88,59662.48,637811.69,461944.87,78142.44,41871.53,8948.21,34788.93,12115.7,34965.99,478757.77,434022.86,368086.94,65935.91,44734.92,457237.35,393199.61,323593.01,69606.61,64037.74,47819.75,1993632.3
2013,Triwulan III,1128699.25,410500.46,46772.05,155373.17,77041.09,277156.31,103867.12,57989.06,22340,178021.36,108910.32,69111.03,673791.17,495100.53,76286.83,40677.94,9066.44,35884.48,16774.95,15726.13,485152.35,435733.4,380325.94,55407.46,49418.95,479782.79,412545.51,331893.8,80651.71,67237.28,79650.63,2103598.1
2014,Triwulan III,1186520,430515.82,48586.21,161304.18,81226.71,293299.91,110302.1,61285.07,23627,180099.59,110754.91,69344.68,703109.97,517454.53,74426.16,38626.9,10562.91,40655.85,21383.62,43563.84,509141.53,458439.37,396448.21,61991.16,50702.16,480780.65,411425.1,330924.44,80500.66,69355.55,42062.32,2207343.6
2015,Triwulan III,1245315.92,453522.03,50644.33,168930.26,85750.33,307674.38,115745.94,63048.66,25179.85,192869.49,120861.97,72007.52,737766.63,549086.66,76545.22,41242.55,11902.55,39954.13,19035.51,58384.68,504268.13,449849.69,382536.07,67313.62,54418.45,449673.09,385686.22,303131.26,82554.96,63986.87,-1268.11,2312843.5
2016,Triwulan III,1307794.26,478101.47,52210.55,176483.73,90430.75,324001.99,122112.55,64453.21,26858.46,187162.02,115692.58,71469.44,769037.14,576301.17,69294.96,47312.68,12071.31,40710.26,23346.76,60856.23,474544.39,417290.71,355460.79,61829.92,57253.67,431267.72,370728.17,286734.85,83993.32,60539.56,34275.82,2429260.6
2017,Triwulan III,1372039.98,503628.24,53366.28,184034.52,95104.38,341798.9,128240.03,65867.63,28479.96,193619.44,118250.67,75368.78,823497.8,612509.3,79793.09,49816.46,14101.81,44729.38,22547.77,46060.51,552347.63,488947.63,425588.71,63358.92,63399.99,497794.43,431052.39,346894.06,84158.33,66742.04,34046.01,2552296.9
2018,Triwulan III,1440669.1,529905.39,55667.15,191843.52,100112.7,360116.6,135761.2,67262.52,30947.73,205734.33,124637.1,81097.23,880471.86,646837.66,97450.6,52078.87,15356.21,45867.7,22880.82,45518.35,598185.74,528386.21,472600.42,55785.79,69799.54,568282.63,496697.91,410974.1,85723.81,71584.72,51087.72,2684332.2
2019,Triwulan III,1512796.69,556717.17,57882.24,200549.95,107270.27,376648.13,143615.96,70112.98,33238.36,207784.19,126641.95,81142.24,917553.03,679372.09,105040.8,48779.61,15183.24,47243.73,21933.56,35709.17,603451.13,535250.24,484173.11,51077.13,68200.89,519921.79,447422.01,383640.19,63781.82,72499.78,28201.93,2818812.7
2020,Triwulan III,1451572.68,552855.19,55398.14,204195.86,109470.92,333089.69,127898.11,68664.76,32600.18,228164.91,133786.5,94378.4,857689.27,641327.25,83009.15,41632.62,12870.61,57762.72,21086.92,-7509.07,526683.23,502131.88,455263.02,46868.86,24551.35,389806.37,347484.56,296899.62,50584.94,42321.81,21086.47,2720481.3
2021,Triwulan III,1466410.51,557284.34,55136.58,208856.54,112135.55,332299.98,131013.24,69684.29,33535.67,229749.47,121462.85,108286.62,889950.49,662850.97,92545.31,45395.4,14154.23,54710.56,20294.02,8033.24,636331,609177.78,557649.08,51528.7,27153.22,510944.03,460567.63,403397.19,57170.44,50376.41,63425.75,2816492.1
2022,Triwulan III,1545569.01,572168.77,57574.55,213657.07,113298.91,375064.63,142962.46,70842.63,35544.14,224003.98,131522.24,92481.74,934275.34,663305.12,126288.98,53176.01,14169.12,55777.67,21558.45,15667.77,757833.24,708472.69,655526.38,52946.31,49360.55,642418.89,561839.64,473630.38,88209.27,80579.25,107450.31,2977924.9
2023,Triwulan III,1623663.56,595089.16,59637.64,221704.48,118088.28,403857.8,152288.62,72997.59,37742.08,215206.69,126578.4,88628.29,988210.38,705188.12,125017.65,64485.54,13370.48,56921.88,23226.71,22361.27,728178.4,661176.73,604615.36,56561.37,67001.67,599024.2,516328.14,432061.99,84266.15,82696.05,108654.72,3124992.9
2024,Triwulan III,1703460.73,620479.14,61673.71,229852.47,123028.03,430268.71,162347.72,75810.96,42152.66,225140.35,136139.3,89001.05,1039095.93,747649.05,138983.02,54634.33,15932.99,57678.67,24217.88,106911.6,794334.06,715570.89,659262.12,56308.77,78763.16,667723.62,579852.89,496222,83630.89,87870.73,36221.69,3279593.4
2010,Triwulan IV,963088.73,371102.15,38599.32,131896.49,64835.95,227470.96,84564.53,44619.32,18751.33,226325.53,139818.74,86506.79,559818.69,405072.3,60815.32,31810.9,8614.76,39571.61,13933.79,-28386.91,467263.51,426413.37,346507.31,79906.06,40850.14,422649.27,349125.72,278826.89,70298.83,73523.55,-46676.71,1737534.9
2011,Triwulan IV,1016714.74,379508.62,41266.16,140087.02,68722.42,243676.97,91271.29,52182.27,19945.38,234073.61,140234.26,93839.35,618778.12,434688.3,76702.5,42762.67,9193.73,44264.53,11166.4,-43425.27,502612.27,455162.5,379911.8,75250.7,47449.77,480423.6,402429.74,327270.51,75159.23,77993.86,-27489.05,1840786.2
2012,Triwulan IV,1072165.45,393649.06,43911.37,148382.78,72610.21,260392.45,97000.79,56218.79,21273.69,233782.45,141217.99,92564.46,679304.13,483484.39,79014.53,47498.44,9244.12,46923.1,13139.56,-10730.52,507897,456888.38,394065.32,62823.06,51008.61,508514.22,430924.69,345271.11,85653.58,77589.53,-46325.78,1948852.2
2013,Triwulan IV,1129316.25,410766.46,46325.05,156468.17,76728.09,276271.31,103662.12,59095.07,24000,251839.01,158250.18,93588.83,692822.78,502982.45,80439.71,38355.45,10157.5,43569.74,17317.93,-30884.81,555849.94,502337.82,436485.54,65852.28,53512.12,504177.59,429832.67,346573.6,83259.07,74344.92,-61077.98,2057687.6
2014,Triwulan IV,1186631.74,428059.38,48189.81,162472.98,81637.88,293468.33,110998.29,61805.07,23883,254031.28,158541.83,95489.44,720916.13,538676.48,73872.6,35519.73,10899.96,44444.4,17502.95,-11887.96,531117.21,476731.62,415015.44,61716.18,54385.58,519193.91,442465.42,349849.65,92615.77,76728.49,-23944.99,2161552.5
