Tahun;Klasifikasi; Pendapatan Negara; Penerimaan Dalam Negeri; Penerimaan Perpajakan; Pendapatan Pajak Dalam Negeri; Pendapatan Pajak Penghasilan; Pendapatan Pajak Pertambahan Nilai dan PPnBM; Pendapatan Pajak Bumi dan Bangunan; Pendapatan Pajak lainnya; Pendapatan Cukai; Pendapatan Pajak Perdagangan Internasional; Bea Masuk; Bea Keluar; Penerimaan Negara Bukan Pajak; Penerimaan SDA; Pendapatan dari Kekayaan Negara Dipisahkan; Pendapatan PNBP Lainnya; Pendapatan Badan Layanan Umum; Penerimaan Hibah; Belanja Negara; Belanja Pemerintah Pusat; Belanja Pegawai; Belanja Barang; Belanja Modal; Subsidi; Belanja Hibah; Bantuan Sosial; Belanja Lain-lain; Transfer Ke Daerah; Dana Bagi Hasil; Dana Alokasi Umum; Dana Alokasi Khusus; Dana Otonomi Khusus; Keseimbangan Primer; Surplus/Defisit Anggaran (A - B); Pembiayaan Anggaran
2021;Realisasi;2.011.347,10;2.006.334,00;1.547.841,10;1.474.145,70;696.676,60;551.900,50;18.924,80;11.126,00;195.517,80;73.695,40;39.122,70;34.572,70;458.493,00;149.489,40;30.496,80;152.504,00;126.002,80;5.013,00;2.000.703,80;2.000.703,80;387.752,50;530.059,30;239.632,30;242.086,80;4.319,00;173.654,10;79.704,40;785.707,60;117.157,00;377.791,40;184.638,30;19.482,90;-431.568,90;-775.064,30;871.723,20
2022;Realisasi;2.635.843,00;2.630.147,00;2.034.552,40;1.943.654,80;998.213,80;687.609,50;23.264,70;7.686,10;226.880,80;90.897,70;51.077,70;39.819,90;595.594,60;268.770,90;40.597,10;196.324,30;89.902,30;5.696,10;2.280.027,90;2.280.027,90;402.441,70;426.149,10;240.570,30;252.812,90;5.803,30;161.523,10;404.385,80;816.234,80;168.414,10;378.000,00;173.164,60;20.436,30;742.157,00;355.815,20;590.978,10
2023;Realisasi;2.783.929,70;2.766.745,50;2.154.208,20;2.089.718,30;1.061.234,00;763.632,70;33.270,70;9.729,80;221.851,10;64.489,90;50.891,80;13.598,20;612.537,30;254.203,00;82.058,70;180.415,10;95.860,40;17.184,20;3.121.217,20;2.239.786,70;412.711,30;432.715,00;303.041,30;269.592,10;219,1;156.601,60;225.023,70;881.430,50;205.666,60;398.029,60;181.357,60;17.241,30;102.595,00;-337.287,60;356.663,80
2024;Realisasi;1.123.516,28;1.120.853,58;869.501,85;769.607,18;473.028,61;282.344,67;1.906,60;3.096,87;81.117,67;28.007,44;20.307,93;7.699,61;227.068,66;95.705,45;58.804,58;64.112,93;32.728,86;2.662,70;1.145.274,07;824.300,72;202.445,93;142.380,92;58.443,55;77.845,14;0;70.461,72;66.809,30;320.973,37;45.120,07;186.321,51;51.829,03;2.835,77;184.156,40;-21.757,78;84.585,09
2010;Capaian %;100,29;100,18;97,31;96,34;98,57;87,69;112,88;103,3;111,64;128,16;117,01;163,12;108,81;102,49;102,02;136,73;111,64;159,4;89,24;89,24;91,04;86,68;84,49;95,75;28,78;96,4;65,82;100,03;102,86;99,98;99,14;92,62;122,03;141,26;68,45
2011;Capaian %;103,48;103,44;99,45;98,56;99,8;93,08;102,87;5,77;1.836,28;115,3;117,51;113,43;115,67;111,38;97,74;137,79;130,41;112,69;97,3;97,3;96,1;87,27;83,61;124,52;74,12;86,91;35,04;99,71;100,14;100;98,3;98,63;114,09;124,92;86,82
2012;Capaian %;98,52;98,15;96,49;96,13;90,54;100,45;97,58;74,77;114,12;103,57;114,88;91,52;103,13;104;100,07;100,91;106,35;701,33;94,49;94,49;93,22;86,96;82,42;141,35;4,19;87,9;5,94;100,39;102,87;100;313,81;16,97;0;0;92,14
2013;Capaian %;95,8;95,63;93,81;93,63;94;90,8;92,54;91,39;103,55;98,01;102,63;89,93;101,6;111,13;93,33;81,51;104,89;152,39;95,01;95,01;95,15;82,19;93,91;101,99;55,53;111,7;17,47;96,96;86,14;100;311,41;16,04;0;0;105,89
2014;Capaian %;94,81;94,64;92,04;92,72;95,84;86,04;107,97;121,5;100,54;77,55;90,59;54,98;103,01;99,89;100,79;103,27;142,26;216,53;94;94;94,31;90,48;91,64;97,25;31,81;101,31;41,7;96,18;88,34;100;335,12;15,51;0;0;103,06
2015;Capaian %;85,6;85,08;83,29;83,71;88,66;73,5;109,59;47,47;99,25;70,93;83,9;30,92;95;84,91;101,86;90,66;152,95;361,51;89,67;89,67;93,93;89,83;85,2;87,68;91,76;93,8;31,75;93,76;70,92;100;258,59;14,08;0;0;145,21
2016;Capaian %;87,11;86,7;83,48;83,12;76,79;86,92;109,78;231,35;96,92;98,88;97,3;119,94;106,89;71,7;108,69;140,26;115,65;455,03;88,32;88,32;89,11;85,34;82,04;98,02;83,51;92,9;26,74;91,5;83;100;77,66;100;0;0;112,73
2017;Capaian %;95,99;95,49;91,23;90,78;81,36;101,1;108,81;180,14;100,08;108,99;105,37;153,61;119,59;116,19;107,08;127,95;122,84;374,18;92,57;92,57;91;98,4;91,48;98,53;98,44;93,78;17,65;96,82;92,51;100;90,81;100;0;0;92,29
2018;Capaian %;102,58;101,83;93,86;93,26;86,52;99,16;111,95;172,74;102,7;118,56;109,57;225,5;148,61;174,19;100,82;153,52;127,22;1.300,43;100,06;100,06;94,86;102,16;90,31;138,82;104,09;103,76;24,04;98,91;105,02;100;93,31;100;0;0;93,79
2019;Capaian %;90,56;90,32;86,55;86,35;86,34;81,11;110,45;89,44;104,16;94,76;96,44;79,98;108,12;81,2;177,02;132,35;102,12;1.263,50;91,55;91,55;98,56;96,87;93,93;89,96;333,7;110,21;10,26;98,33;97,77;100,73;93,03;100;0;0;135,83
2020;Capaian %;96,93;95,9;91,5;91,06;88,61;88,73;155,88;90,72;102,39;109,66;101,92;258,75;116,89;122,93;101,66;111,14;138,62;1.448,68;92,8;92,8;94,26;154,61;138,97;102,19;123,73;116,05;26,64;99,82;108,66;99,28;96,72;100;0;0;114,83
2021;Capaian %;115,35;115,12;107,15;104,58;101,89;106,43;127,61;89,51;108,62;210,8;117,94;1.933,70;153,75;143,59;116,71;139,69;214,33;555,27;102,36;102,36;92,07;146,23;97,1;138,06;63,69;107,57;38,45;98,77;114,9;96,8;94;97,5;0;0;86,62
2022;Capaian %;116,31;116,09;114,05;114;122,68;107,61;111,29;67,53;103,13;115,02;120,64;108,53;123,66;118,65;109,46;174,94;84,97;982,26;99,06;99,06;94,35;125,44;120,77;89,13;120,29;109,56;81,79;101,42;119,93;100;91,33;100;0;0;70,34
2023;Capaian %;113,03;112,35;106,58;106,43;113,49;102,78;106,26;111,84;90,39;111,69;107,08;133,15;138,77;129,71;167,13;159,24;115,47;4.197,41;138,94;99,7;93,26;114,8;144,86;90,32;2.169,31;105,41;68,33;108,19;150,94;100,51;97,61;100;0;0;59,63
2024;Capaian %;40,09;40;37,64;34,43;41,5;34,8;7,01;29,36;32,96;37,39;35,4;43,93;46,15;46,09;68,5;55,68;39,27;618,37;34,44;33,41;41,79;34,98;23,62;27,22;0;44,79;17,22;37,43;31,53;43,56;27,55;15,52;0;0;16,18
